"","tdna001","tdna002","tdna003","tdna004","tdna005","tdna006","tdna007","tdna008","tdna009","tdna010","tdna011","tdna012","tdna013","tdna014","tdna015","tdna016","tdna017","tdna018","tdna019","tdna020","tdna021","tdna022","tdna023","tdna024","tdna025","tdna026","tdna027","tdna028","tdna029","tdna030","tdna031","tdna032","tdna033","tdna034","tdna035","tdna036","tdna037","tdna038","tdna039","tdna040","tdna041","tdna042","tdna044","tdna045","tdna046","tdna047","tdna048","tdna049","tdna050","tdna051","tdna052","tdna053","tdna054","tdna055","tdna056","tdna057"
"ASV11",0.0247215763250475,0.337884292472492,0.0247215763250475,0.337884292472492,0.0247215763250475,0.0247215763250475,0.337884292472492,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.337884292472492,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.337884292472492,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.337884292472492,0.0247215763250475,0.337884292472492,0.0247215763250475,0.0247215763250475,0.995188305848651,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.337884292472492,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475,0.0247215763250475
"ASV12",0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.996833855304932,0.041172152375679,0.041172152375679,0.454804578820018,0.454804578820018,0.454804578820018,0.041172152375679,0.454804578820018,0.454804578820018,0.041172152375679,0.041172152375679,0.041172152375679,0.454804578820018,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.454804578820018,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.041172152375679,0.454804578820018,0.041172152375679,0.94188155733768,0.041172152375679,0.94188155733768,0.041172152375679,0.041172152375679,0.94188155733768
"ASV13",0.491453975740755,0.491453975740755,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.491453975740755,0.105614508613073,0.105614508613073,0.491453975740755,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.491453975740755,0.491453975740755,0.491453975740755,0.105614508613073,0.105614508613073,0.491453975740755,0.105614508613073,0.105614508613073,0.105614508613073,0.491453975740755,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.491453975740755,0.491453975740755,0.491453975740755,0.491453975740755,0.984784676563801,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.491453975740755,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073,0.105614508613073
"ASV14",0.000461447749044236,0.0348699813541575,0.0348699813541575,0.0348699813541575,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.0348699813541575,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.0348699813541575,0.000461447749044236,0.000461447749044236,0.0348699813541575,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.0348699813541575,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.000461447749044236,0.0348699813541575,0.0348699813541575,0.0348699813541575,0.000461447749044236,0.995501268144005,0.000461447749044236,0.995501268144005,0.995501268144005
"ASV15",0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.258065211910867,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.998528213772291,0.00781413350927697,0.258065211910867,0.00781413350927697,0.258065211910867,0.00781413350927697,0.00781413350927697,0.938881707821208,0.258065211910867,0.938881707821208,0.00781413350927697,0.998528213772291,0.00781413350927697,0.998528213772291,0.258065211910867,0.258065211910867,0.00781413350927697,0.00781413350927697,0.258065211910867,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.00781413350927697,0.938881707821208,0.258065211910867,0.00781413350927697,0.938881707821208,0.00781413350927697,0.00781413350927697,0.258065211910867,0.258065211910867,0.00781413350927697,0.938881707821208,0.938881707821208,0.998528213772291,0.998528213772291,0.00781413350927697,0.998528213772291,0.00781413350927697,0.998528213772291,0.998528213772291
"ASV16",0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.999556295836078,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.0068423745259023,0.321868064886768,0.970325810856965,0.0068423745259023,0.0068423745259023,0.321868064886768,0.0068423745259023,0.321868064886768,0.0068423745259023
"ASV17",0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.984369498400306,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.0643509008805536,0.675450927587464
"ASV18",0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.999980093705537,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241,0.000508445767683241
"ASV19",0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.582318902188291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.981156782045902,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.0359858848660291,0.582318902188291,0.0359858848660291,0.981156782045902,0.0359858848660291,0.0359858848660291,0.0359858848660291
"ASV20",0.597050779639388,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.597050779639388,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.970331540389639,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.970331540389639,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.062904349019943,0.597050779639388,0.062904349019943
