"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV370",0.259511421634641,0.20631911269143,0.0162148596097472,0.155422717846474,0.743746754276905,0.97862144174337,0.998616809638484
"ASV371",0.273425588313484,0.194480238332605,0.0166442697595414,0.171396666784863,0.74686977595625,0.97679104416811,0.9983370242167
"ASV372",0.312380470481343,0.180536467590365,0.0218297039486892,0.210799090075757,0.725035703679655,0.963004959967225,0.996123620553457
"ASV373",0.264418486196326,0.187181254586644,0.0157435666086331,0.16836445139235,0.744551389425316,0.976724073390379,0.99834749401842
"ASV374",0.248116430234227,0.210682897121253,0.0155977530198021,0.145382880168129,0.741314321917474,0.979705552238175,0.998771826771474
"ASV375",0.290939485014779,0.174506877387315,0.0170328203787726,0.195507959012021,0.747779958658942,0.973096418028631,0.997738900891019
"ASV376",0.291061820548582,0.175397482926593,0.0170739329248481,0.195111912546002,0.748005734068978,0.97322478841872,0.997758291633576
"ASV377",0.255615149833195,0.187220921821403,0.0162089581781686,0.162227389192757,0.730257952918734,0.974259476961913,0.998113776492675
"ASV378",0.260268307824119,0.192992390732726,0.0160626384809324,0.162565519304286,0.739837090885826,0.976558024397462,0.998364042698284
"ASV379",0.278450005138087,0.186835864869032,0.0164301285885068,0.179030431166541,0.749967544778537,0.976335001069767,0.99824087502831
"ASV380",0.222969316944797,0.212293232046415,0.0150450341087546,0.127989221248392,0.721423733906885,0.978583099037293,0.998761129875515
"ASV381",0.225437270973005,0.217349532642593,0.0151288788014146,0.127446144666293,0.725317874847185,0.979482003187706,0.998842630466521
"ASV382",0.274637938996734,0.183685596628087,0.016260475620914,0.17786175134106,0.746521952755525,0.975664856508285,0.998171168258263
"ASV383",0.269047341954318,0.196430828203598,0.0163976043376357,0.16715350453828,0.746379818682841,0.977351005350306,0.998422072724523
"ASV384",0.252389911198832,0.205779532726568,0.0160409429466864,0.150769814747406,0.73833028180385,0.978186949012475,0.998598873372392
"ASV385",0.234887213600347,0.214025361547791,0.0153015762199845,0.135035530221338,0.732314851585536,0.979566784949414,0.998811053766153
"ASV386",0.213637257204745,0.233097473148297,0.0147247187598076,0.113565973393797,0.72265459097815,0.981479049407899,0.99907301758864
"ASV387",0.262179812079647,0.176655835211729,0.01592311747445,0.17226504312148,0.734017507182242,0.973399473390926,0.997943363610226
"ASV388",0.23741081143005,0.198525616554096,0.0152171803249656,0.143707529054865,0.729014712400994,0.977336837927997,0.998555507591636
"ASV389",0.276065174518988,0.189292737203628,0.016366959753185,0.175939755441029,0.749748969278965,0.976766440763147,0.998307789075354
"ASV390",0.247652848125937,0.208887393331583,0.0158373792208109,0.146012741096877,0.737216448343982,0.978737615577355,0.998677749972515
"ASV391",0.228484926616715,0.216009514022936,0.0152253172131469,0.13000281041887,0.726998053281944,0.979363139070689,0.998818988678614
"ASV392",0.254012143091696,0.206437190143024,0.0160878797191453,0.151570140532425,0.739735639490761,0.978364120998642,0.998611945078008
"ASV393",0.248907864094607,0.223865257120963,0.0158372243772479,0.139813358272304,0.744464789732447,0.981209815961216,0.998932745582901
"ASV394",0.281662103974664,0.188900381376473,0.0168720918387216,0.180453652717021,0.749252630171203,0.975932652568261,0.998186071548903
"ASV395",0.255716543696832,0.202853261932543,0.0162523371862086,0.154550920148498,0.737929061866945,0.97746315931167,0.998505377784106
"ASV396",0.251247959109878,0.194925248411867,0.0160234622440919,0.155254682495523,0.732091641802264,0.97597846380199,0.998347345999209
"ASV397",0.246981603851859,0.20879153710557,0.0158063815240139,0.145597142074422,0.73684307793409,0.978726876915198,0.998678930780046
"ASV398",0.259188061691558,0.193959428201728,0.0161661903635887,0.161357565547649,0.738055860517566,0.976337992088503,0.998347790101993
"ASV399",0.24349780004731,0.209959507504957,0.015729355307496,0.142699479474003,0.734613063477674,0.978738314981985,0.998695409117363
"ASV400",0.250477418372096,0.210202091287881,0.0156344366506862,0.147200560840409,0.743088847810649,0.979784816391642,0.998770248518875
"ASV401",0.264759624823507,0.185777048685145,0.0159909176952461,0.169443297899819,0.741225797244108,0.975737856324646,0.99823211864076
"ASV402",0.276579497049477,0.18982954506501,0.0162870851635634,0.175989247047133,0.751398107089414,0.977155297131227,0.998350726617274
"ASV403",0.239209265338535,0.199881542908895,0.0151692843858697,0.144284674263941,0.732239114853379,0.977950627020973,0.998611771042855
"ASV404",0.232967484178322,0.208901892530246,0.0154095365875777,0.136102990396913,0.726639742440729,0.978189719726463,0.998680265576582
"ASV405",0.243538693977847,0.209036883422931,0.0157728588317993,0.143171858495946,0.733730680400352,0.978468237941317,0.998667392971786
"ASV406",0.273902595636238,0.187517876271106,0.0165564604625427,0.175402715281623,0.7446451299056,0.975596384317683,0.998178699963223
"ASV407",0.245015471887632,0.181901504650491,0.015611053368606,0.157030470067009,0.723128521573403,0.973417450074184,0.998056040464602
"ASV408",0.266155415797914,0.191019002240018,0.0161811188001126,0.167811727331229,0.743259275300635,0.976504546269276,0.998326840068696
"ASV409",0.246496113355157,0.216023266887818,0.015815257267864,0.141888707757129,0.739265500125133,0.979846140602106,0.998801930565815
"ASV410",0.249262128970808,0.196309751688778,0.0151796969292909,0.152867282964438,0.740907946352844,0.978409464299916,0.998609434756148
"ASV411",0.2285426251612,0.204641670470603,0.0148614220999708,0.134874785893141,0.726702042155748,0.978425556687407,0.998708832738518
