"","psi","p11","p10","PoO.0","PoO.1","PoO.2"
"ASV83",0.287253257914673,0.453249389294015,0.0484014426300897,0.117423038060109,0.684385645799179,0.972483408552951
"ASV85",0.314619887557649,0.24283027868924,0.0411950771022179,0.222560162844467,0.681209424791575,0.941004103158761
"ASV87",0.31019952810605,0.244638765212631,0.0414061542226102,0.218278050058966,0.676754206978936,0.940111821160378
"ASV88",0.415716238872175,0.411336468160869,0.0551332958614796,0.21640137323458,0.767827555205015,0.975371919957859
"ASV90",0.31145969997502,0.247295278898396,0.0412338509152492,0.218018313021554,0.680494546300237,0.942097225972526
"ASV91",0.307426149713849,0.25079248502655,0.0410323074671682,0.213179979364842,0.6794498603943,0.943125497190036
"ASV93",0.315822568083834,0.241756174909821,0.0417228667816629,0.224209651208216,0.679115853431351,0.939387330229039
"ASV94",0.318710649968304,0.241775531071197,0.0415071260024917,0.226449538457279,0.683100757376872,0.940731832576597
"ASV95",0.312082977064549,0.244789249437769,0.0413879236970351,0.219706359003528,0.678856072326823,0.940722470897197
"ASV96",0.551614276746508,0.386548310669226,0.0568148070391908,0.342285200231877,0.844814239976009,0.982742748091709
"ASV98",0.175657541650204,0.571464363974831,0.0310447739121933,0.0400121010080016,0.634339131379719,0.98633951877765
"ASV99",0.45780336229986,0.286230260218119,0.058765720577328,0.326853197593779,0.757205126913753,0.952451402807086
"ASV100",0.31768882442874,0.240537352081772,0.0418921869428399,0.226336919394327,0.679399477786095,0.938839250443661
"ASV101",0.33018092245986,0.260737516458592,0.0489428712457353,0.229487190987251,0.671190074208103,0.93328956324927
"ASV102",0.314854692764859,0.243008386418357,0.0410647000306209,0.222620076587736,0.68221199588897,0.941495971884315
"ASV104",0.358531672355456,0.270524977048176,0.0545565928740902,0.2496648392007,0.681365491597537,0.932169892427956
"ASV105",0.453109124089817,0.286741573064266,0.0592951930706049,0.322635251560969,0.752343676575234,0.950920543110682
"ASV106",0.521284539211321,0.293875599873443,0.0591245939053583,0.380164761237681,0.802450329704026,0.964160556736556
"ASV107",0.314376670419718,0.247900568254641,0.0415480881534483,0.220176477464143,0.682219125032849,0.942275494933393
"ASV111",0.32097475480882,0.242960790205618,0.0412586883804461,0.227635958360098,0.687302077652902,0.94250162072447
"ASV114",0.32122691295155,0.242033799559642,0.041348440142633,0.22830325001234,0.686544726169501,0.941911644674429
"ASV116",0.327111697673601,0.24003052485638,0.0411352818124284,0.233935467853554,0.692141580190447,0.94302725402293
"ASV117",0.317302699843565,0.247315707010738,0.040955325519108,0.22256533137674,0.687766200114028,0.94428466810065
"ASV118",0.29642710115424,0.451520293808729,0.0482452157002886,0.122745455177646,0.694405354947535,0.97361646047031
"ASV120",0.350187582274444,0.430565365954399,0.0529059811533534,0.163047805045451,0.72504247507815,0.972746743111027
"ASV121",0.316797615120104,0.243379427838621,0.0420685517850105,0.224373914595791,0.679370169617358,0.939466450886602
"ASV124",0.325814751262261,0.238342094780909,0.0415801874719888,0.23384021097566,0.687642106753529,0.940754394729785
"ASV125",0.308128250107134,0.251562904003905,0.0411166044012693,0.213417184817413,0.680183278532216,0.943410473787644
