original_sample_name,ASV1,ASV10,ASV11,ASV110,ASV112,ASV113,ASV115,ASV117,ASV12,ASV122,ASV126,ASV13,ASV130,ASV135,ASV137,ASV139,ASV14,ASV141,ASV15,ASV155,ASV162,ASV163,ASV17,ASV177,ASV18,ASV19,ASV191,ASV2,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV262,ASV27,ASV271,ASV28,ASV286,ASV297,ASV3,ASV30,ASV31,ASV33,ASV34,ASV35,ASV355,ASV39,ASV4,ASV41,ASV44,ASV45,ASV46,ASV47,ASV5,ASV50,ASV513,ASV52,ASV534,ASV56,ASV58,ASV591,ASV6,ASV616,ASV62,ASV627,ASV633,ASV66,ASV67,ASV68,ASV7,ASV70,ASV719,ASV72,ASV75,ASV77,ASV78,ASV8,ASV84,ASV86,ASV9,ASV91,ASV97
E032,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E033,0,0,0,0,0,0,0,0,0,0,0,2547,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E035,7840,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,15330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7493,0,0,0,0,0,0,0,0,0,0,0,0
E036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5734,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32222,0,0,0,0,0,0,0,0,0,0,0,0
E038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,342,0,0,0,0,0,0,0,8407,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,14719,0,0,0,0,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128425,0,0,0,0,0,0,5910,0,0,8446,0,0
E039,2076,0,0,0,20,0,0,0,0,0,272,0,0,0,172,0,0,0,0,330,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E040,0,0,0,0,22,0,0,0,0,0,433,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,8122,0,0,0,0,0,0,0,0,0,0,0,0,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E042,0,11632,0,0,0,0,0,0,0,0,63,0,0,0,94,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,7504,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11482,0,0,0,0,0,0,0,0,0,0,0,0,24764,0,0,0,0,0,0,0,0,0,45601,0,0
E046,0,3886,0,0,218,0,0,0,0,0,0,0,0,0,337,0,0,0,0,112,0,450,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E047,107707,26375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8751,0,0,0,0,2316,0,0,0,0,0,6394,0,425,86683,0,0,0,0,15155,0,0,356348,0,0,0,0,12238,0,3969,24693,10657,0,0,0,0,0,0,0,0,0,6384,6189
E049,157874,10155,0,0,0,0,0,0,0,0,0,0,0,2970,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5428,0,0,0,0,8552,0,0,0,0,2821,0,0,0,0,0,2935,0,0,9554,0,0,0,0,0,0,0,91888,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E050,38855,0,0,656,185,0,0,0,4092,139,0,13230,0,0,0,936,373,0,1110,0,0,0,2630,0,0,0,0,944,0,0,0,0,0,0,2536,0,0,0,0,0,0,188180,0,0,0,0,0,0,1785,1573,0,0,0,0,0,5422,0,0,0,0,0,3795,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7517,0,0,0,0,0
E051,126680,3155,489,0,111,0,0,0,13523,0,0,0,0,0,0,0,1697,347,1212,0,0,0,0,0,0,0,0,571,0,690,0,3914,0,0,8617,0,0,0,0,0,0,10263,0,0,0,0,3314,698,3855,0,0,0,0,0,0,17680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,0,0,10722,0,1320,0,0,0
E052,121269,0,487,0,0,0,0,0,19976,0,0,10382,0,0,73,0,559,0,563,0,0,0,62310,0,1093,0,0,6169,0,0,0,1079,0,0,3730,0,0,0,0,0,0,4096,0,0,0,530,2296,0,1906,0,0,0,0,0,0,18516,1408,0,0,0,0,0,0,1090,0,0,0,0,0,12083,0,1404,0,0,0,0,0,1525,14352,0,227,0,0,0
E054,196275,0,3472,0,121,3263,0,0,40320,0,0,26282,610,0,0,0,18527,0,7611,0,0,0,5211,0,1726,0,0,0,0,1808,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,3031,0,1714,9122,0,0,0,0,0,39065,0,0,0,0,0,0,0,1024,0,945,0,0,0,0,2737,0,0,0,0,954,0,0,36368,0,2696,3820,0,0
E056,170172,0,0,0,0,0,0,0,43907,0,0,29817,0,313,0,0,13646,0,2651,0,0,0,0,0,1088,0,0,0,0,0,0,1085,0,0,5685,0,0,0,0,0,0,4852,0,0,0,0,3153,0,8921,6843,0,19871,140,0,0,52998,0,0,0,0,0,0,0,0,0,2577,0,0,0,0,3036,0,0,0,0,412,0,0,12747,0,898,3917,0,0
E057,247213,0,4405,1063,122,0,4467,0,44671,0,0,0,0,0,0,0,31655,0,4829,0,0,0,7331,0,1883,0,0,0,0,5925,0,0,0,0,1344,1102,0,0,0,0,0,8565,0,3960,0,0,5955,0,5246,6204,0,626,0,0,0,55706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,803,0,0,27708,0,0,0,0,0
