Leg,Location,Trawl,Date,Species,Size class,Number Retained (for isotopes and other analyses),FA Sample,Comments,Processed?,,,
2,Juan de Fuca Strait,11,10-Aug-18,Walleye Pollock,large,1,1,,Y,,,
2,Juan de Fuca Strait,11,10-Aug-18,Hake,large,1,1,,Y,,,
2,Juan de Fuca Strait,11,10-Aug-18,Pasiphaea pacifica,,lots,0,,Y,,,
2,Juan de Fuca Strait,11,10-Aug-18,Pasiphaea tarda,,lots,0,,Y,,,
2,Juan de Fuca Strait,11,10-Aug-18,Pink Shrimp,,1,0,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Chinook Salmon,,10,10,,Y (we have 8),,,
2,Juan de Fuca Strait,12,11-Aug-18,Spiny Dogfish,large,2,2,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Spiny Dogfish,small,5,5,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Northern Anchovy,,4,3,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Pacific Herring,large,1,1,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Pacific Herring,juvenile,5,5,samples taken for isotopes and FA from different individuals (because too small),Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Coho Salmon,juvenile,6,5,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Chinook Salmon,juvenile,1,1,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Sockeye Salmon,,10,5,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Chum Salmon,juvenile,10,5,,Y,,,
2,Juan de Fuca Strait,12,11-Aug-18,Pink Salmon,juvenile,10,5,,Y,,,A=Neomysis rayii
2,Juan de Fuca Strait,12,11-Aug-18,Walleye Pollock,juvenile,10,5,samples taken for isotopes and FA from different individuals (because too small),Y,,,B=Pasiphaea pacifica
2,Juan de Fuca Strait,12,11-Aug-18,Whitebait Smelt,,2,1,samples taken for isotopes and FA from different individuals (because too small),Y,,,C=Pasiphaea tarda
2,Juan de Fuca Strait,12,11-Aug-18,Opalescent Inshore Squid,,3,1,,Y,,,Squid A=opalsecent
2,Juan de Fuca Strait,12,11-Aug-18,Larval Sand Lance,,4,0,too small for FA samples,Y,,,Squid C=Clawed Armhook
2,Juan de Fuca Strait,13,11-Aug-18,Chinook Salmon,,8,8,scales taken from right side above lateral line,? (we have 2),,,"Fish Larvae ""A""= Larval Sand Lance"
2,Juan de Fuca Strait,13,11-Aug-18,Sea Nettle,,2,0,,,,,
2,Juan de Fuca Strait,13,11-Aug-18,Clawed Armhook Squid,,2,0,,Y,,,
2,Juan de Fuca Strait,13,11-Aug-18,Myctophid,,0,6,,?,,,
2,Juan de Fuca Strait,13,11-Aug-18,Euphausiids,,lots,lots,samples taken for isotopes and FA from different individuals,Y,,,
2,Juan de Fuca Strait,13,11-Aug-18,Larval Sand Lance,,lots,lots,samples taken for isotopes and FA from different individuals,Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Chinook Salmon,,5,5,don't have unique catch number for individuals in Trawls 14-16 (have unique lenghs and weights recorded on each bag so can match individual fish to numbers later),Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Siphonophore spp.,,1,0,,,,,
2,Juan de Fuca Strait,14,12-Aug-18,Clawed Armhook Squid,,1,0,"**unable to find squid when organizing samples by trawl in freezer, possibly stuck onto other bag in other trawl; also confirm species ID in lab",Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Pacific Herring,juvenile,2,0,,Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,American Shad,,1,1,,Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Pacific Herring,medium,10,5,,Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Pacific Herring,large,10,5,,Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Northern Anchovy,,1,1,,Y,,,
2,Juan de Fuca Strait,14,12-Aug-18,Pyrosome,,1,1,,,,,
2,Swiftsure Bank,15,12-Aug-18,Chinook Salmon,,21,10,,Y,,,
2,Swiftsure Bank,15,12-Aug-18,Coho Salmon,,1,1,,Y,,,
2,Swiftsure Bank,15,12-Aug-18,Sablefish,,3,3,,Y,,,
2,Swiftsure Bank,15,12-Aug-18,Pacific Herring,juvenile,8,5,samples taken for isotopes and FA from different individuals,Y,,,
2,Swiftsure Bank,15,12-Aug-18,Northern Anchovy,,1,1,,Y,,,
2,Swiftsure Bank,15,12-Aug-18,Opalescent Inshore Squid,,2,2,,Y,,,
2,Swiftsure Bank,16,13-Aug-18,Coho Salmon,,4,4,,Y,,,
2,Swiftsure Bank,16,13-Aug-18,Sockeye Salmon,,2,2,,Y,,,
2,Swiftsure Bank,16,13-Aug-18,Siphonophore spp.,,2,0,ID in lab,,,,
2,Swiftsure Bank,16,13-Aug-18,Chinook Salmon,,6,6,individual with 0.498kg and 34.8cm measurements had scales taken from right side near anal fin,Y,,,
2,Swiftsure Bank,16,13-Aug-18,Larval Squid,,1,0,,Y,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
