verbatimIdentification,name_type,species,search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches
Corphaenidoes sp,orig_species,Corphaenidoes sp,corphaenidoes sp,NA,NA,NA,NA,NA,NA
Euphausid spp,orig_species,Euphausid spp,euphausid spp,NA,NA,NA,NA,NA,NA
Euphausiid spp,orig_species,Euphausiid spp,euphausiid spp,NA,NA,NA,NA,NA,NA
Glass Shrimp,orig_species,Glass Shrimp,glass shrimp,NA,NA,NA,NA,NA,NA
Glass Shrimp,sci_name_1,Macrobrachium lanchesteri,macrobrachium lanchesteri,Macrobrachium lanchesteri,FALSE,616150,FALSE,,1
Hermit Crab,orig_species,Hermit Crab,hermit crab,NA,NA,NA,NA,NA,NA
Hermit Crab,sci_name_1,Calcinus tubularis,calcinus tubularis,Calcinus tubularis,FALSE,160722,FALSE,,1
Hermit Crab,sci_name_2,Eupagurus bernhardus,eupagurus bernhardus,Eupagurus bernhardus,FALSE,7695314,FALSE,sibling_higher,2
Jellyfish,orig_species,Jellyfish,jellyfish,NA,NA,NA,NA,NA,NA
Jellyfish,sci_name_1,Cnidaria,cnidaria,Cnidaria,FALSE,641033,FALSE,,1
Jellyfish,sci_name_2,Sanderia malayensis,sanderia malayensis,Sanderia malayensis,FALSE,1055814,FALSE,,1
Jellyfish,sci_name_3,Scyphozoa,scyphozoa,Scyphozoa,FALSE,983579,FALSE,,1
Juvenile Pollock,orig_species,Juvenile Pollock,juvenile pollock,NA,NA,NA,NA,NA,NA
Lamprey,orig_species,Lamprey,lamprey,NA,NA,NA,NA,NA,NA
Lamprey,sci_name_1,Lampetra fluviatilis,lampetra fluviatilis,Lampetra fluviatilis,FALSE,801627,FALSE,,1
Lion's Mane Jelly,orig_species,Lion's Mane Jelly,lion's mane jelly,NA,NA,NA,NA,NA,NA
Myctophiid spp,orig_species,Myctophiid spp,myctophiid spp,NA,NA,NA,NA,NA,NA
Night Smelt,orig_species,Night Smelt,night smelt,NA,NA,NA,NA,NA,NA
Night Smelt,sci_name_1,Spirinchus starksi,spirinchus starksi,Spirinchus starksi,FALSE,280143,FALSE,,1
Pacific Hake,orig_species,Pacific Hake,pacific hake,NA,NA,NA,NA,NA,NA
Pacific Hake,sci_name_1,Merluccius gayi,merluccius gayi,Merluccius gayi,FALSE,757319,FALSE,,1
Pacific Hake,sci_name_1,Merluccius gayi,merluccius gayi,Merluccius gayi,FALSE,757319,FALSE,,1
Pacific Hake,sci_name_2,Merluccius productus,merluccius productus,Merluccius productus,FALSE,183169,FALSE,,1
Pyrosome spp,orig_species,Pyrosome spp,pyrosome spp,NA,NA,NA,NA,NA,NA
Siphonophore spp,orig_species,Siphonophore spp,siphonophore spp,NA,NA,NA,NA,NA,NA
Squid B,orig_species,Squid B,squid b,NA,NA,NA,NA,NA,NA
Unidentified Rockfish,orig_species,Unidentified Rockfish,unidentified rockfish,NA,NA,NA,NA,NA,NA
Water Jelly,orig_species,Water Jelly,water jelly,NA,NA,NA,NA,NA,NA
White Bait Smelt,orig_species,White Bait Smelt,white bait smelt,NA,NA,NA,NA,NA,NA
Zoarcidae A,orig_species,Zoarcidae A,zoarcidae a,NA,NA,NA,NA,NA,NA
