original_sample_name,ASV1,ASV105,ASV11,ASV12,ASV120,ASV13,ASV136,ASV137,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV2,ASV20,ASV207,ASV212,ASV23,ASV26,ASV27,ASV28,ASV29,ASV3,ASV32,ASV34,ASV37,ASV378,ASV4,ASV41,ASV433,ASV47,ASV5,ASV52,ASV542,ASV57,ASV592,ASV6,ASV638,ASV64,ASV7,ASV8,ASV81,ASV83,ASV88,ASV9,ASV96
E023,0,0,0,0,595,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E024,0,0,0,0,0,0,0,0,0,0,0,0,68195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6196,0,0,0,0,0
E025,58067,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,0,1515
E026,0,0,0,0,0,0,3059,1085,0,0,0,0,0,0,0,0,0,0,0,0,4302,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,0,0
E027,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,7371,0,15878,10285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9463,0,0,0,0
E028,47630,0,0,0,0,0,0,0,0,0,0,0,0,9573,15937,14962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
E029,2647,0,0,0,0,0,0,0,0,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9082,0,0,0,0,0,0,0,0,0,0,0
E032,17946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E033,4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,1592,0,0,0,0,4078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E038,0,0,0,0,0,16117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,117346,0,0,0,0,8679,0,0,0,0,0,0,0,0,0,0,0,0,0
E039,34793,0,0,0,0,0,0,0,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,882,4126,5877,0,0,0,16027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
