"","ASV1","ASV2","ASV3","ASV4","ASV5","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV12","ASV13","ASV14","ASV15","ASV17","ASV18","ASV19","ASV20","ASV21","ASV22","ASV23","ASV24","ASV25","ASV26","ASV27","ASV28","ASV30","ASV31","ASV33","ASV34","ASV35","ASV39","ASV41","ASV44","ASV45","ASV46","ASV47","ASV49","ASV50","ASV52","ASV53","ASV56","ASV58","ASV62","ASV66","ASV67","ASV68","ASV70","ASV72","ASV75","ASV77","ASV78","ASV84","ASV86","ASV91","ASV97","ASV98","ASV110","ASV111","ASV112","ASV113","ASV115","ASV117","ASV122","ASV126","ASV130","ASV135","ASV137","ASV139","ASV141","ASV155","ASV162","ASV163","ASV177","ASV191","ASV262","ASV271","ASV286","ASV297","ASV355","ASV513","ASV534","ASV546","ASV591","ASV616","ASV627","ASV633","ASV719"
"tdna038",4400,9555,60,16858,3394,0,128425,5910,8446,0,0,0,0,0,0,0,0,0,0,8407,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,342,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0
"tdna039",7778,11983,2654,0,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,272,0,0,172,0,0,330,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna040",3574,0,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8122,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,433,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna041",5702,123371,2494,55594,0,0,13779,0,0,0,0,0,0,0,0,0,0,0,0,8212,0,0,0,0,0,0,0,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna042",4879,16298,2694,5082,7504,751,10779,0,0,11632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,94,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna044",345,0,3008,0,0,0,24764,0,45601,0,0,0,0,0,0,0,0,0,0,0,42560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna045",8107,90234,3918,35863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna046",3044,3590,4873,0,152,0,0,0,0,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,337,0,0,112,0,450,241,0,0,0,255,0,0,0,0,0,0,0,0,0,0
"tdna047",107745,0,9229,0,86683,356348,61652,0,0,26375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,0,0,0,6394,0,425,0,0,0,0,15155,0,0,12238,0,3969,10657,0,0,0,0,0,0,6384,6189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna048",38,127711,478,28667,0,0,36959,0,0,0,0,0,21677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna049",157912,0,9030,0,9554,91888,6919,0,0,10155,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,5428,0,0,0,0,0,2821,0,0,0,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"tdna050",74599,944,191536,7924,11258,0,2437,7517,0,0,0,4092,13230,373,1110,2630,0,0,0,0,0,0,0,0,2536,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,185,0,0,0,139,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0
"tdna051",162424,571,13619,1864,23516,0,5604,10722,0,53861,489,13523,0,1697,1212,0,0,0,0,690,0,3914,0,0,8617,0,0,0,0,0,0,3314,3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,0,0,0,1320,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0
"tdna052",157013,6169,7452,4288,24352,1090,7632,14352,0,0,487,19976,10382,559,563,62310,1093,0,0,0,0,1079,0,0,3730,0,0,0,0,0,530,2296,1906,0,0,0,0,0,0,1408,0,0,0,0,0,0,12083,0,0,0,0,0,1525,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna053",35744,0,3356,6351,5836,0,6228,0,0,50706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna054",224539,2858,32627,14652,39065,1024,11718,36368,3820,0,3472,40320,26282,18527,7611,5211,1726,0,0,1808,0,0,0,0,0,0,0,0,0,0,0,3031,1714,0,0,0,0,0,0,0,0,0,0,0,945,0,0,2737,0,0,954,0,0,0,2696,0,0,0,0,0,154,3263,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
"tdna055",28264,22408,36439,5530,0,0,40487,0,0,55871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna056",198436,9558,41291,12373,52998,0,10400,12747,3917,0,0,43907,29817,13646,2651,0,1088,0,0,0,0,1085,0,0,5685,0,0,0,0,0,0,3153,8921,0,19871,140,0,0,0,0,0,0,0,0,2577,0,0,3036,0,0,412,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna057",275477,7006,45004,11734,55706,0,6842,27708,0,29078,4405,44671,0,31655,4829,7331,1883,0,0,5925,0,0,0,0,1344,0,0,0,3960,0,0,5955,5246,0,626,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,803,0,0,0,0,0,0,0,1063,0,155,0,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0
